marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Complement C3","complement-c3","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","203","","One of the complement proteins, a set of blood proteins that work with antibodies to clear infection and damaged cells. It is measured as part of the assessment of inflammatory and autoimmune conditions.","","",""
"Copper","copper","","MEASURED","Insight 360; Signature","Nutritional Health; Liver Health","","","DRAFT","","179","","A trace mineral needed by enzymes involved in iron handling, connective tissue and nerve function. Most of the copper in blood is bound to a carrier protein called caeruloplasmin.","","",""
"Coriander (Leaf) (IgG)","coriander-leaf-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","410","TEMPLATE-FAMILY","Measures IgG antibodies to Coriander (Leaf) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Coriander (Leaf).","","",""
"Corn (Maize) (IgG)","corn-maize-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Corn (Maize) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Corn (Maize).","","",""
"Cortisol","cortisol","","MEASURED","HSC14 Fertility; Core; Insight 360; Signature","Stress; Pituitary & Adrenal","","","DRAFT","","260","","The body’s primary stress hormone, also involved in metabolism and immune regulation.","Can reflect ongoing stress or, rarely, an adrenal condition.","Can reflect adrenal insufficiency.","Time of day significantly affects results. This is best tested in the morning."
"Couscous (IgG)","couscous-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Couscous in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Couscous.","","",""
"Crab (IgG)","crab-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Crab in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Crab.","","",""
"Cranberry (IgG)","cranberry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Cranberry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cranberry.","","",""
"Creatine Conversion","creatine-conversion","","GENETIC","Signature","Athletic Performance","","","DRAFT","","200","TEMPLATED","Relates to inherited variation in genes involved in creatine metabolism in muscle. The research behind indicators of this kind is limited, and it measures nothing about your muscles as they are today.","","",""
"Creatine Kinase","creatine-kinase","","MEASURED","Core; Insight 360; Signature","Heart Health; Muscle & Joint Health","","","DRAFT","","173","","An enzyme concentrated in muscle, including heart muscle, which passes into the blood when muscle cells are strained or damaged. Recent hard exercise raises it considerably.","","",""
"Creatine Kinase-MB (CK-MB)","ck-mb","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","191","","The form of creatine kinase found in relatively high concentration in heart muscle. It was long used in the assessment of heart muscle injury, a role that troponin has now largely taken over.","","",""
"Creatinine","creatinine","","MEASURED","Ran Chip Insight 360; Signature; Advanced GP3 (Male); Advanced GP3 (Female); Core; Insight 360","Kidney Health","","","DRAFT","","185","CROSS-REFERENCES(Muscle Mass)","A waste product filtered out by your kidneys, used to estimate kidney function.","Can reflect reduced kidney function or high muscle mass.","","Staying well hydrated supports accurate results."
"Cucumber (IgG)","cucumber-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Cucumber in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cucumber.","","",""
"Cumin (IgG)","cumin-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Cumin in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cumin.","","",""
"Curry (Mixed Spices) (IgG)","curry-mixed-spices-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","418","TEMPLATE-FAMILY","Measures IgG antibodies to Curry (Mixed Spices) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Curry (Mixed Spices).","","",""
"Cuttlefish (IgG)","cuttlefish-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Cuttlefish in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cuttlefish.","","",""
"Cystatin C","cystatin-c","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","211","CROSS-REFERENCES(Creatinine)","A small protein made at a steady rate by almost every cell and cleared by the kidneys. It is used to estimate kidney filtration, and unlike creatinine it is largely unaffected by how much muscle someone carries.","","",""
"D-dimer","d-dimer","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","162","","A fragment left behind when the body breaks down a blood clot. It is used mainly to help rule blood clots out, because a great many ordinary things also raise it.","","",""
"DHEA-S","dhea-s","","MEASURED","HSC14 Fertility; Core; Insight 360; Signature","Pituitary & Adrenal","","","DRAFT","","203","CROSS-REFERENCES(Testosterone; Testosterone)","A hormone produced by the adrenal glands, a precursor to testosterone and oestrogen.","Can relate to adrenal conditions.","Can relate to reduced adrenal reserve or normal ageing.","Naturally declines with age."
"Date (IgG)","date-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Date in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Date.","","",""
"Diastolic Blood Pressure","diastolic-blood-pressure","","MEASURED","Insight 360; Signature","Personal Health Measurements; Metabolic Syndrome","","","DRAFT","","187","","The pressure in the arteries between heartbeats, while the heart is refilling. It is the lower of the two numbers in a blood pressure reading and is taken with a cuff at your appointment.","","",""
"Dill (IgG)","dill-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Dill in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Dill.","","",""
"Direct Bilirubin","direct-bilirubin","","MEASURED","Insight 360; Signature","Liver Health","","","DRAFT","","187","","The portion of bilirubin that the liver has already processed and prepared for excretion in bile. It is reported alongside total bilirubin to show which part of the total it accounts for.","","",""
"Duck (IgG)","duck-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Duck in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Duck.","","",""
"Durum Wheat (IgG)","durum-wheat-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","400","TEMPLATE-FAMILY","Measures IgG antibodies to Durum Wheat in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Durum Wheat.","","",""
"E-Selectin","e-selectin","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","224","","An adhesion molecule that appears on the inner lining of blood vessels and helps white blood cells stick to it. It is a research marker of blood vessel lining activation and has no established interpretation in routine care.","","",""
"ECG","ecg","","QUALITATIVE","Signature; Insight 360","Heart Health","","","DRAFT","","181","","An electrocardiogram, a recording of the heart’s electrical activity taken through electrodes placed on the skin. It is reported as a written interpretation rather than as a number.","","",""
"ESR (Erythrocyte Sedimentation Rate)","esr","","MEASURED","Ran Chip Insight 360","","","","DRAFT","","195","","A general marker of inflammation in the body.","Can reflect infection, inflammation, or other underlying conditions.","","A non-specific marker, usually interpreted alongside other results and symptoms."
"Eel (IgG)","eel-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","384","TEMPLATE-FAMILY","Measures IgG antibodies to Eel in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Eel.","","",""
"Egg White (IgG)","egg-white-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Egg White in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Egg White.","","",""
"Egg Yolk (IgG)","egg-yolk-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Egg Yolk in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Egg Yolk.","","",""
"Enterobacter cloacae","enterobacter-cloacae","","QUALITATIVE","Signature","UTI","","","DRAFT","","158","","Enterobacter cloacae, a bacterium that lives in the gut and is also found in urinary infection. The panel reports whether it was detected in the urine sample.","","",""
"Enterococcus faecalis","enterococcus-faecalis","","QUALITATIVE","Signature","UTI","","","DRAFT","","164","","Enterococcus faecalis, one of the commonest gut bacteria and a recognised cause of urinary infection. The panel reports whether it was detected in the urine sample.","","",""
"Enterococcus faecium","enterococcus-faecium","","QUALITATIVE","Signature","UTI","","","DRAFT","","148","","Enterococcus faecium, a relative of Enterococcus faecalis that also lives in the gut. The panel reports whether it was detected in the urine sample.","","",""
"Eosinophil Count","eosinophils","","MEASURED","Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","268","","A white blood cell involved in allergic responses and in resisting parasitic infection.","Can reflect allergy, asthma, eczema or hay fever, and less commonly a parasitic infection.","Rarely significant on its own.","Often higher during hay fever season or an allergic flare."
"Epidermal Growth Factor","egf","","MEASURED","Insight 360; Signature","Infection & Inflammation; Stress","","","DRAFT","","201","","Epidermal growth factor, a signalling protein involved in the growth and repair of skin and other tissues. It is measured as a research marker, and a single reading has no established clinical meaning.","","",""
"Epstein-Barr Antibodies","epstein-barr-antibodies","","MEASURED","Signature","Epstein-Barr Virus","","","DRAFT","","185","","A combined measure of antibodies against Epstein-Barr virus, the virus behind glandular fever. It is reported as an index against the assay’s own cut-off rather than as a concentration.","","",""
"Epstein-Barr Nuclear Antigen IgG","epstein-barr-nuclear-antigen-igg","","MEASURED","Signature","Epstein-Barr Virus","","","DRAFT","","221","","IgG antibodies against the Epstein-Barr nuclear antigen, which usually appear some weeks to months after a first infection and then persist. It is read with the other Epstein-Barr antibodies to place an infection in time.","","",""
"Epstein-Barr Viral Capsid Antigen IgG","epstein-barr-viral-capsid-antigen-igg","","MEASURED","Signature","Epstein-Barr Virus","","","DRAFT","","177","","IgG antibodies against the outer protein coat of Epstein-Barr virus. Once formed these generally persist for life, so they speak to past exposure rather than to current illness.","","",""
"Epstein-Barr Viral Capsid Antigen IgM","epstein-barr-viral-capsid-antigen-igm","","MEASURED","Signature","Epstein-Barr Virus","","","DRAFT","","205","","IgM antibodies against the outer protein coat of Epstein-Barr virus. IgM is the first antibody class the body makes and usually fades within a few months, so it is used to judge how recent an exposure was.","","",""
"Escherichia coli","escherichia-coli","","QUALITATIVE","Signature","UTI","","","DRAFT","","185","","Escherichia coli, a bacterium that normally lives in the gut and is by far the commonest cause of urinary tract infection. The panel reports whether it was detected in the urine sample.","","",""
"FSH (Follicle Stimulating Hormone)","fsh","","MEASURED","HSC14 Fertility; Core; Insight 360; Signature","Male Hormone; Pituitary & Adrenal; Female Hormone","","","DRAFT","","183","","A hormone that regulates the menstrual cycle and sperm production.","Can relate to reduced ovarian reserve or menopause.","","Timing in the menstrual cycle significantly affects this result."
"Familial Hypercholesterolaemia Risk","familial-hypercholesterolaemia-risk","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","283","","Relates to variants in genes such as LDLR, APOB and PCSK9 associated with familial hypercholesterolaemia, an inherited condition of cholesterol handling. A panel of this kind covers only some of the many known variants, so on its own it can neither confirm nor exclude the condition.","","",""
"Fasting Glucose","glucose","","MEASURED","Ran Chip Insight 360; Signature; Advanced GP3 (Male); Advanced GP3 (Female); RP3 Metabolic Syndrome; Insight 360; Core","Metabolic Syndrome; Diabetes Health","","","DRAFT","","210","","The amount of sugar circulating in your blood after fasting.","Can indicate insulin resistance or a risk of developing diabetes.","","Reducing refined carbohydrates and regular activity both help regulate blood sugar."
"Fasting Insulin","fasting-insulin","","MEASURED","RP3 Metabolic Syndrome; Core; Insight 360; Signature","Metabolic Syndrome; Diabetes Health","","","DRAFT","","254","","The hormone that regulates blood sugar, measured after fasting.","Elevated levels can be an early sign of insulin resistance, often before blood sugar itself rises.","","Reducing refined carbohydrate intake and regular exercise both improve insulin sensitivity."
"Fasting Response","fasting-response","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","182","TEMPLATED","Relates to inherited variation in genes involved in switching between glucose and fat as a fuel. Research in this area is at an early stage and no dietary conclusion follows from it.","","",""
"Fennel (Leaf) (IgG)","fennel-leaf-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","404","TEMPLATE-FAMILY","Measures IgG antibodies to Fennel (Leaf) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Fennel (Leaf).","","",""
"Ferritin","ferritin","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Nutritional Health HSC15; Core; Insight 360; Signature","Iron Status; Infection & Inflammation; Liver Health","","","DRAFT","","300","","A protein that stores iron. Reflects your body’s iron reserves.","Can reflect iron overload or, commonly, an inflammatory response rather than true excess iron.","Indicates depleted iron stores, often before anaemia develops.","Iron-rich food helps; persistent low levels are worth discussing with your GP."
"Fig (IgG)","fig-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","384","TEMPLATE-FAMILY","Measures IgG antibodies to Fig in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Fig.","","",""
"Flax Seed (IgG)","flax-seed-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Flax Seed in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Flax Seed.","","",""
"Folate","folate","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Core; Insight 360; Signature","Nutritional Health","","","DRAFT","","184","","A B-vitamin needed for cell division and red blood cell production.","","Can contribute to fatigue and anaemia.","Leafy greens, legumes, and fortified foods support levels in the usual range."
"Folate Deficiency Risk","folate-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","196","","Relates to variants in MTHFR and related genes, which affect how folate is converted into the form the body uses. It describes an inherited tendency rather than measuring the folate in your blood.","","",""
"Free Androgen Index","free-androgen-index","","MEASURED","Core; Insight 360; Signature","Female Hormone","","","DRAFT","","220","CROSS-REFERENCES(Testosterone; Testosterone)","A calculation comparing total testosterone with sex hormone binding globulin, the protein that carries most of it. It is used to estimate how much testosterone is available to the tissues rather than bound up in transit.","","",""
"Free T3","free-t3","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Core; Insight 360; Signature","Thyroid Health","","","DRAFT","","190","","An active thyroid hormone that influences metabolism.","Can indicate an overactive thyroid.","Can indicate an underactive thyroid or non-thyroidal illness.","Interpreted alongside TSH and Free T4."
"Free T4","free-t4","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Core; Insight 360; Signature","Thyroid Health","","","DRAFT","","187","","The main hormone produced by your thyroid gland.","Can indicate an overactive thyroid.","Can indicate an underactive thyroid.","Interpreted alongside TSH for a full picture of thyroid function."
"Free Testosterone","free-testosterone","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Male); Signature; Advanced GP3 (Female); Nutritional Health HSC15; RP3 Metabolic Syndrome; RP10 Heart Health; HSC14 Fertility; Insight 360; Core","Male Hormone","","","DRAFT","","254","","The portion of testosterone that’s freely available for your body to use.","","Can better explain symptoms than total testosterone alone, especially if SHBG is outside its usual range.","Sleep, resistance exercise, and healthy weight all support natural levels."
"Fructosamine","fructosamine","","MEASURED","Insight 360; Signature","Diabetes Health","","","DRAFT","","231","","A measure of glucose bound to proteins in the blood, reflecting average glucose over roughly the previous two to three weeks. It is used where HbA1c would be unreliable, such as when red blood cells are turning over unusually fast.","","",""
"GGT (Gamma-Glutamyl Transferase)","ggt","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Female); Advanced GP3 (Male); Core; Insight 360; Signature","Liver Health","","","DRAFT","","212","","A liver enzyme sensitive to alcohol intake and bile flow.","Can reflect alcohol intake, fatty liver, or bile duct issues.","","Often the first liver marker to rise with alcohol intake and the first to fall on reduction."
"Garlic (IgG)","garlic-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Garlic in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Garlic.","","",""
"Gastric Parietal Cell Antibodies","gastric-parietal-cell-antibodies","","MEASURED","Insight 360; Signature","Autoimmune","","","DRAFT","","241","","Antibodies directed at the stomach’s parietal cells, which make stomach acid and the protein needed to absorb vitamin B12. They are measured as part of the assessment of vitamin B12 deficiency and autoimmune conditions of the stomach lining.","","",""
"Gastrin","gastrin","","MEASURED","Insight 360; Signature","Digestive & Bowel Health","","","DRAFT","","163","","A hormone made in the stomach lining that stimulates the production of stomach acid. It is measured as part of the assessment of how the stomach is producing acid.","","",""
"Genetic Coeliac Disease","genetic-coeliac-disease","","GENETIC","Insight 360; Signature","Digestive & Bowel Health; Genetic Risk Assessment","","","DRAFT","","263","","Looks at the HLA-DQ2 and HLA-DQ8 tissue types, which are carried by almost everyone who develops coeliac disease. They are also common in people who never develop it, so this indicator is far more informative for what it can rule out than for what it can rule in.","","",""
"Genetic Lactose Intolerance","genetic-lactose-intolerance","","GENETIC","Insight 360; Signature","Digestive & Bowel Health; Diet & Nutrition; Genetic Risk Assessment","","","DRAFT","","224","","Looks at a variant near the lactase gene that governs whether the enzyme for digesting milk sugar keeps being produced into adult life. It describes an inherited tendency and does not measure how milk is being tolerated now.","","",""
"Genetic Obesity Risk","genetic-obesity-risk","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","231","","Relates to variants such as those in FTO and MC4R, associated with differences in body weight across large populations. The contribution of any one variant is small and is readily outweighed by everything else that bears on weight.","","",""
"Genetic Type II Diabetes Risk","genetic-type-ii-diabetes-risk","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","235","","Relates to variants such as those in TCF7L2, associated with type 2 diabetes across large populations. It describes an inherited tendency and says nothing about whether the condition is present, which is what glucose and HbA1c are for.","","",""
"Ginger (IgG)","ginger-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Ginger in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Ginger.","","",""
"Ginseng (IgG)","ginseng-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Ginseng in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Ginseng.","","",""
"Gliadin (IgG)","gliadin-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Gliadin in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Gliadin.","","",""
"Globulin","globulin","","MEASURED","Core; Insight 360; Signature","Liver Health","","","DRAFT","","198","CROSS-REFERENCES(Total Protein)","All the blood proteins other than albumin taken together, including antibodies and carrier proteins. It is usually calculated by subtracting albumin from total protein rather than measured directly.","","",""
"Glucose (urine)","glucose-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","167","","A urine dipstick reading for glucose. The kidneys normally reabsorb glucose before urine is formed, so the strip is a coarse screen and not a measure of blood glucose.","","",""
"Glutamate Dehydrogenase (GLDH)","gldh","","MEASURED","Signature; Insight 360","Liver Health","","","DRAFT","","199","","Glutamate dehydrogenase, an enzyme concentrated inside liver cells, particularly in their mitochondria. It is measured as a liver enzyme that is more specific to the liver than several of the others.","","",""
"Glutathione Reductase","glutathione-reductase","","MEASURED","Insight 360; Signature","Nutritional Health","","","DRAFT","","191","","An enzyme in red blood cells that regenerates glutathione, one of the body’s antioxidants. Its activity depends on vitamin B2, so the test is used as an indirect measure of riboflavin status.","","",""
"Gluten Intolerance","gluten-intolerance","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","175","","Relates to the HLA tissue types associated with coeliac disease. It is not a test for gluten sensitivity more broadly, and it cannot show whether gluten is behind any symptom.","","",""
"Grape (Black/Red/White) (IgG)","grape-black-red-white-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","424","TEMPLATE-FAMILY","Measures IgG antibodies to Grape (Black/Red/White) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Grape (Black/Red/White).","","",""
"Grapefruit (IgG)","grapefruit-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Grapefruit in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Grapefruit.","","",""
"Guava (IgG)","guava-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Guava in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Guava.","","",""
"H. Pylori","h-pylori","","MEASURED","Insight 360; Signature","Digestive & Bowel Health; Digestive Health","","","DRAFT","","155","","A test for Helicobacter pylori, a bacterium that can live in the lining of the stomach. It is reported as detected or not detected rather than as a number.","","",""
"HDL Cholesterol","hdl","","MEASURED","Ran Chip Insight 360; Signature; Advanced GP3 (Female); Advanced GP3 (Male); RP3 Metabolic Syndrome; RP10 Heart Health; Core; Insight 360","Heart Health; Metabolic Syndrome","","","DRAFT","","210","","Often called “good” cholesterol. Helps remove excess cholesterol from your bloodstream.","","Lower levels are linked to increased cardiovascular risk.","Regular exercise is one of the most effective ways to raise HDL."
"Haddock (IgG)","haddock-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Haddock in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Haddock.","","",""
"Haematocrit","haematocrit","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","207","CROSS-REFERENCES(Haemoglobin; Haemoglobin)","The proportion of your blood made up of red blood cells.","Can reflect dehydration or overproduction of red cells.","Often reflects anaemia or overhydration.","Interpreted alongside haemoglobin and red cell count."
"Haemochromatosis Risk","haemochromatosis-risk","","GENETIC","Signature","Genetic Risk Assessment","","","DRAFT","","290","","Looks at the HFE gene variants, chiefly C282Y and H63D, associated with hereditary haemochromatosis, a condition in which too much iron is absorbed. Many people who carry these variants never accumulate excess iron, and it is iron studies in the blood that show whether any is accumulating.","","",""
"Haemoglobin","haemoglobin","","MEASURED","Signature; Advanced GP3 (Male); Nutritional Health HSC15; Ran Chip Insight 360; Core; Insight 360","Full Blood Count","1","","DRAFT","","356","","The protein in red blood cells that carries oxygen around your body.","Can reflect dehydration, smoking, or conditions that increase red cell production.","Often reflects anaemia: reduced capacity to carry oxygen, which can cause fatigue and breathlessness.","Iron-rich food, staying hydrated, and treating any underlying cause support levels in the usual range."
